area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei,1600.0,3.0,2.0,65.0,3,4062.5
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,,945.0,2.0,1.0,54.0,2,5714.29
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500.0,2.0,1.0,78.0,2,5200.0
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,,950.0,7.0,0.0,115.0,7,12105.26
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870.0,3.0,3.0,110.0,3,5882.35
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600.0,3.0,1.0,75.0,3,4687.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa,880.0,1.0,1.0,16.5,2,1875.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535.0,3.0,2.0,83.0,3,5407.17
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950.0,2.0,1.0,57.0,2,6000.0
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360.0,2.0,1.0,65.0,2,4779.41
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1073.5,2.0,0.0,54.005,2,5030.74
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,,1280.0,3.0,1.0,50.4,3,3937.5
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260.0,2.0,2.0,85.05,3,6750.0
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,,5000.0,8.0,2.0,250.0,8,5000.0
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050.0,5.0,1.0,213.0,5,6983.61
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,3,6717.64
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1000.0,2.0,1.0,60.0,2,6000.0
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167.0,2.0,1.0,43.76,2,3749.79
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,,4000.0,7.0,2.0,225.0,7,5625.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828.0,3.0,2.0,110.0,3,6017.51
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890.0,2.0,1.0,35.0,2,3932.58
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612.0,3.0,3.0,46.74,3,2899.5
Plot  Area,Ready To Move,Dinnur,6 Bedroom,,1034.0,5.0,2.0,185.0,6,17891.68
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710.0,4.0,2.0,91.31,3,5339.77
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957.0,2.0,1.0,58.0,2,6060.61
Super built-up  Area,18-May,Devarachikkanahalli,3 BHK,,1250.0,2.0,3.0,44.0,3,3520.0
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795.0,4.0,2.0,235.0,3,8407.87
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125.0,2.0,2.0,50.0,2,4444.44
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020.0,2.0,1.0,30.6,2,3000.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1200.0,2.0,2.0,50.0,2,4166.67
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya,1735.0,3.0,3.0,135.0,3,7780.98
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050.0,3.0,1.0,145.0,3,7073.17
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750.0,4.0,0.0,760.0,4,20266.67
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,,1350.0,2.0,3.0,48.0,3,3555.56
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063.0,2.0,1.0,32.0,2,3010.35
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904.0,3.0,1.0,150.0,3,7878.15
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,4200.0,4.0,2.0,420.0,4,10000.0
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000.0,3.0,1.0,175.0,3,8750.0
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1242.5,2.0,0.0,43.49,2,3500.2
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425.0,2.0,2.0,75.0,3,5263.16
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500.0,2.0,1.0,64.5,3,4300.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060.0,2.0,1.0,60.0,2,5660.38
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470.0,2.0,2.0,70.0,3,4761.9
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,,1300.0,6.0,0.0,99.0,6,7615.38
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450.0,1.0,1.0,11.0,1,2444.44
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152.0,2.0,1.0,64.5,2,5598.96
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350.0,2.0,1.0,56.0,3,4148.15
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550.0,3.0,3.0,65.0,3,4193.55
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,,600.0,3.0,2.0,85.0,5,14166.67
Plot  Area,Ready To Move,Nagavara,1 Bedroom,,400.0,1.0,0.0,14.0,1,3500.0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705.0,1.0,2.0,67.0,1,9503.55
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770.0,1.0,1.0,36.0,2,4675.32
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona,1242.0,2.0,3.0,51.0,2,4106.28
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700.0,3.0,2.0,155.0,3,9117.65
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya,2144.0,3.0,2.0,145.0,3,6763.06
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704.0,3.0,2.0,110.0,3,6455.4
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070.0,2.0,1.0,52.0,2,4859.81
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,,1846.0,3.0,2.0,300.0,3,16251.35
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1340.0,2.0,2.0,55.7,2,4156.72
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025.0,2.0,1.0,46.0,2,4487.8
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1277.5,2.0,0.0,56.8,2,4446.18
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200.0,2.0,2.0,52.0,2,4333.33
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,,2250.0,4.0,1.0,110.0,4,4888.89
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550.0,2.0,3.0,80.0,3,5161.29
Plot  Area,Ready To Move,Ejipura,7 Bedroom,,1800.0,7.0,1.0,250.0,7,13888.89
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya,1200.0,2.0,2.0,60.0,2,5000.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327.0,2.0,2.0,98.0,2,7385.08
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1186.0,2.0,2.0,58.0,2,4890.39
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,,1783.0,3.0,1.0,115.0,3,6449.8
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400.0,3.0,2.0,56.0,3,4000.0
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,,980.0,2.0,1.0,48.0,2,4897.96
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,,1285.0,2.0,2.0,82.0,2,6381.32
Super built-up  Area,Ready To Move,Langford Town,3 BHK,,912.0,2.0,1.0,70.0,3,7675.44
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya,1225.0,2.0,2.0,47.6,2,3885.71
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1075.0,2.0,1.0,53.0,2,4930.23
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260.0,2.0,2.0,54.0,3,4285.71
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad,1282.0,2.0,2.0,48.7,3,3798.75
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909.0,3.0,2.0,88.0,3,4609.74
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359.0,2.0,1.0,87.0,2,6401.77
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,,1207.0,2.0,2.0,43.5,2,3603.98
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,,1736.0,6.0,0.0,190.0,4,10944.7
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,,2850.0,4.0,1.0,428.0,4,15017.54
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595.0,3.0,2.0,65.0,3,4075.24
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,,1798.0,3.0,2.0,89.0,3,4949.94
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475.0,3.0,2.0,78.29,3,5307.8
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580.0,3.0,3.0,100.0,3,6329.11
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295.0,2.0,1.0,65.0,2,5019.31
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,,3600.0,6.0,0.0,141.0,6,3916.67
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589.0,1.0,1.0,27.0,1,4584.04
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,,1415.0,3.0,3.0,78.0,3,5512.37
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787.0,3.0,2.0,98.29,3,5500.28
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787.0,3.0,2.0,125.0,3,6994.96
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475.0,2.0,3.0,90.0,3,6101.69
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984.0,2.0,1.0,44.28,2,4500.0
Super built-up  Area,19-Dec,Devanahalli,3 BHK,Jurdsig,1630.0,2.0,2.0,74.82,3,4590.18
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK,2405.0,4.0,2.0,260.0,3,10810.81
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080.0,2.0,2.0,72.0,2,6666.67
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,,1500.0,2.0,1.0,115.0,2,7666.67
Super built-up  Area,Ready To Move,Hebbal,3 BHK,,1900.0,3.0,2.0,119.0,3,6263.16
Super built-up  Area,19-Aug,Dommasandra,2 BHK,,805.0,2.0,1.0,22.14,2,2750.31
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153.0,2.0,2.0,56.4,2,4891.59
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148.0,2.0,2.0,60.0,2,5226.48
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110.0,2.0,2.0,55.0,2,4954.95
Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100.0,2.0,2.0,42.0,2,3818.18
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290.0,2.0,2.0,110.0,2,8527.13
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,,1500.0,2.0,1.0,65.0,3,4333.33
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,,1080.0,2.0,2.0,39.0,2,3611.11
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933.0,3.0,1.0,129.0,3,6673.56
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,3500.0,5.0,2.0,150.0,5,4285.71
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,,1060.0,2.0,2.0,60.0,2,5660.38
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645.0,1.0,1.0,16.45,1,2550.39
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645.0,1.0,1.0,16.45,1,2550.39
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644.0,3.0,3.0,84.0,3,5109.49
Plot  Area,Ready To Move,Electronic City,3 Bedroom,,1200.0,3.0,1.0,90.0,3,7500.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910.0,2.0,1.0,40.0,2,4395.6
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,1577.0,3.0,1.0,70.0,3,4438.81
Plot  Area,17-May,Meenakunte,3 Bedroom,Sreat R,4050.0,3.0,2.0,280.0,3,6913.58
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa,2420.0,3.0,2.0,185.0,3,7644.63
Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,800.0,1.0,1.0,20.0,2,2500.0
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,,1060.0,2.0,2.0,55.0,2,5188.68
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270.0,2.0,2.0,93.0,2,7322.83
